SKU,ASIN,Brand,Model,category_l0,category_l1,category_l2,NLC,Qty,Channel,Type,Week,OpenPOUnits,Aged90PlusUnits,UnsellableUnits,SellableCost,SnapshotDate
FBA79108,B0CM9L1QZG,Audio Array,AM-W16,Microphone Wireless Lapel,Wireless Lapel Microphone,,756.3434436,49,1p,,,1,44,2,49188.27,2026-07-01
FBK79010,B0FLYJFC22,Audio Array,AM-C42,Microphone Condenser,USB Microphone Kit - Boomarm,,1499.646483,12,1p,,,16,0,1,21418.21,2026-07-01
FBA79833,B0FJ8PZ9H7,Audio Array,PB-04 (AI-04 Red + AM-C44 x 2),Bundles,PB-04,,7169.514799999999,8,1p,,,0,8,3,81102.49,2026-07-01
FBA79834,B0FJ8T4WXM,Audio Array,PB-05 (AA-05 + AM-C11 + AI-04),Bundles,PB-05,,5118.2854,10,1p,,,0,5,5,73409.8,2026-07-01
FBA79995,B0GW8VBCBL,Audio Array,AM-C50,Microphone Dynamic,Vocal Microphone,,534.6565721999999,22,1p,,,0,0,0,18286.52,2026-07-01
FBA79447,B0DFMLXD9S,Audio Array,AM-W34,Microphone Wireless Handheld,Wireless Microphone,,2360.3131602,16,1p,,,2,8,0,45856.9,2026-07-01
FBA76730,B0BLKB6FRR,Audio Array,AM-C27,Microphone Dynamic,Vocal Microphone,,827.5708984229998,2,1p,,,1,2,0,2014.34,2026-07-01
FBA79905,B0FTVSH458,Audio Array,PB-11 (AM-C44+AA-05+AH-45-BK),Bundles,PB-11,,3425.8468000000003,3,1p,,,3,3,0,15730.06,2026-07-01
FBK79009,B0FLYHJ6DK,Audio Array,AM-C41,Microphone Condenser,USB Microphone Kit - Tripod,,1043.2323359999998,1,1p,,,31,0,1,1245.82,2026-07-01
FBA79230,B0CX1XK5R6,Audio Array,AM-W46,Speaker Karaoke,Microphone with Speaker,,4277.252577599999,4,1p,,,1,4,0,14680.56,2026-07-01
FBA79816,B0FPR962YS,Audio Array,AM-W22,Microphone Wireless Lapel,Wireless Lapel Microphone,,1679.60406096,175,1p,,,0,166,1,440378.54,2026-07-01
FBA75679,B0B4JRQP22,Audio Array,AA-02,Microphone Accessories,Accessories,,1330.2810372750002,86,1p,,,55,0,4,144824.67,2026-07-01
FBA78204,B0C4YT43Z3,Audio Array,AM-C31,Microphone Condenser,USB Microphone Kit - Tripod,,3835.413,1,1p,,,0,0,0,1683.78,2026-07-01
FBA79982,B0GN8MPYPG,Audio Array,AK-61 Pro,Electric Keyboard,61 Key Electronic Keyboard With LCD DIsplay,,3317.4116676,13,1p,,,5,0,9,49984.27,2026-07-01
FBA77171,B0CH4VCD6R,Audio Array,AC-6XL,Microphone Accessories,Accessories,,169.52525459999998,222,1p,,,43,1,12,91451.92,2026-07-01
FBA75673,B0B4DPX2J2,Audio Array,AM-C1,Microphone Condenser,USB Microphone Kit - Boomarm,,1475.9646878294116,2221,1p,,,178,219,166,4227887.35,2026-07-01
FBA76862,B0BPLWW72Y,Audio Array,AM-C28,Microphone Conference,Conference Microphone,,874.2436631991176,124,1p,,,109,7,19,142516.87,2026-07-01
FBA77010,B0BPMBMN3S,Audio Array,AI-04 Black,Audio Interface,Audio Interface,,2426.9202919986174,1,1p,,,0,1,0,3711.54,2026-07-01
FBA79009,B0CH4PMR8K,Audio Array,AM-C41,Microphone Condenser,USB Microphone Kit - Tripod,,1043.2323359999998,55,1p,,,1,8,3,68573.92,2026-07-01
FBA79694,B0DT6T6N6B,Audio Array,AA-26,Microphone Accessories,Accessories,,260.80808399999995,347,1p,,,57,0,21,143148.81,2026-07-01
FBA79840,B0FQBWV1ST,Audio Array,AH-60-RD,Headphone,Headphone,,1092.4836480000001,41,1p,,,0,0,4,63509.92,2026-07-01
FBA75684,B0B4G7VWXD,Audio Array,AA-04,Microphone Accessories,Accessories,,871.9473036705882,80,1p,,,0,2,15,90760.08,2026-07-01
FBA78206,B0C4YSV3XL,Audio Array,AM-W15,Microphone Wireless Lapel,Wireless Mic with Charging Case,,11761.9332,2,1p,,,0,1,1,11268.54,2026-07-01
FBA75689,B0B4G59Y8W,Audio Array,AM-W13,Microphone Wireless Handheld,Wireless Microphone,,1305.4598988308821,20,1p,,,0,2,4,33055.83,2026-07-01
FBA79783,B0FF9R3GKK,Audio Array,AM-C47,Microphone Condenser,USB Microphone Kit - Boomarm,,1693.3496543999997,67,1p,,,6,10,5,149130.1,2026-07-01
FBA75678,B0B4G8PH2P,Audio Array,AA-01,Microphone Accessories,Accessories,,1224.4990306619115,38,1p,,,0,3,2,55772.45,2026-07-01
FBA79838,B0FQBX8J17,Audio Array,AH-40 SL,DJ Headphone,DJ Headphone,,477.96159599999993,243,1p,,,0,0,13,224506.32,2026-07-01
FBA76863,B0BPM2T7BQ,Audio Array,AI-03,Audio Interface,Audio Interface,,2179.9269789524997,59,1p,,,0,12,5,172488.14,2026-07-01
FBA79465,B0DFMQCGT1,Audio Array,AM-W21,Microphone Wireless Lapel,Wireless Lapel Microphone,,2803.686903,17,1p,,,15,0,0,41828.74,2026-07-01
FBA79830,B0FJ8TSQK1,Audio Array,GB-03 (AI-12 + AM-C43),Bundles,GB-03,,1828.2802,29,1p,,,5,0,5,85143.19,2026-07-01
FBA80004,B0GW92316G,Audio Array,AM-W36 Pro,Microphone Wireless Handheld,Dual UHF Wireless Microphone With Receiver Box,,4694.545512,17,1p,,,0,0,0,101023.68,2026-07-01
FBA76722,B0BLKDC4PP,Audio Array,AM-C19,Microphone Condenser,USB Microphone Kit - Tripod,,1642.5729378733056,0,1p,,,0,0,0,,2026-07-01
FBA80002,B0GW96SHSK,Audio Array,AM-W33 Pro,Microphone Wireless Handheld,Single UHF Wireless Microphone With Receiver,,1825.6565879999996,12,1p,,,0,0,0,30197.39,2026-07-01
FBA79967,B0G2C2RCXN,Audio Array,AM-W19,Microphone Wireless Lapel,Wireless Lapel Microphone,,1159.29193338,1,1p,,,55,0,0,1481.65,2026-07-01
FBA79836,B0FJ8Z1W81,Audio Array,PB-07 (AA-05 + AM-C45 + AI-04),Bundles,PB-07,,4180.2798,13,1p,,,1,8,0,74946.6,2026-07-01
FBA79005,B0CKHVHVQ1,Audio Array,AM-W45,Microphone Conference,Wireless Conference Microphone,,2738.484882,64,1p,,,337,2,14,231218.81,2026-07-01
FBA80009,B0GW8R2RYM,Audio Array,AM-C51,Microphone Dynamic,Vocal Microphone,,912.8282939999998,17,1p,,,0,0,0,21178.91,2026-07-01
FBA79109,B0CM9HYVDM,Audio Array,AM-W18,Speaker Karaoke,Microphone with Speaker,,612.8989974,262,1p,,,4,46,13,228673.31,2026-07-01
FBA79355,B0D3M86SH1,Audio Array,AA-19BL,Microphone Accessories,Accessories,,2973.2121576,29,1p,,,11,7,7,93700.75,2026-07-01
FBA78973,B0CF5R3V95,Audio Array,AA-19,Microphone Accessories,Accessories,,1960.237563966397,79,1p,,,88,2,5,200310.84,2026-07-01
FBA79445,B0DFMLS8JG,Audio Array,AM-W32,Microphone Wireless Handheld,Wireless Microphone,,2167.3151780400003,29,1p,,,0,1,1,83038.72,2026-07-01
FBA79845,B0FN7B3KWS,Audio Array,UB-02 (AM-S1 + AA-21),Bundles,UB-02,,5836.846399999999,21,1p,,,23,0,2,196113.02,2026-07-01
FBA80016,B0GKPXQ8G3,Audio Array,AM-W22,Microphone Wireless Lapel,Wireless Lapel Microphone,,1679.6,34,1p,,,1,2,1,84370.52,2026-07-01
FBA79960,B0G3B152FR,Audio Array,AM-W47 Wireless,Voice Amplifier,Wireless Voice Amplifier,,920.65253652,35,1p,,,25,34,0,51925.02,2026-07-01
FBA79968,B0G53M9258,Audio Array,AI-14,Audio Mixer,8 channels Mixer,,3065.1016736159995,45,1p,,,86,0,2,220219.05,2026-07-01
FBA79979,B0GN8RQJRG,Audio Array,AK-37-B,Electric Keyboard,37 Key Electronic Keyboard Black,,2261.3068296,22,1p,,,4,1,3,61514.88,2026-07-01
FBA75677,B0B4KC7VBM,Audio Array,AM-C5,Microphone Conference,Conference Microphone,,1291.959696295941,113,1p,,,8,6,9,194429.1,2026-07-01
FBA79821,B0FJ2JJZL3,Audio Array,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",Bundles,UB-01,,9527.5088,12,1p,,,20,3,1,185281.64,2026-07-01
FBA75676,B0B4DS678Q,Audio Array,AM-C4,Microphone Condenser,USB Microphone Kit - Tripod,,1700.7349906280472,12,1p,,,1,2,2,18803.89,2026-07-01
FBA79823,B0FJ2HZCVN,Audio Array,PB-01 (AM-C11 + AI-04),Bundles,PB-01,,4859.948,12,1p,,,0,12,1,82498.16,2026-07-01
FBA79820,B0FQJWWDVK,Audio Array,AC-3XL,Microphone Accessories,Accessories,,130.40404199999998,56,1p,,,10,24,1,19542.18,2026-07-01
FBA78961,B0CBCB9S14,Audio Array,AM-C40,Microphone Condenser,Condenser Mic with Boom Arm,,0.0,2,1p,,,0,2,1,4243.48,2026-07-01
FBA76723,B0BLKF46QG,Audio Array,AM-C20,Microphone Condenser,USB Microphone Kit - Tripod,,1235.4734031646587,5,1p,,,0,4,5,4669.47,2026-07-01
FBA79961,B0G53H49BS,Audio Array,AI-13,Audio Mixer,4 channels Mixer,,1544.91011775,115,1p,,,554,0,33,232377.01,2026-07-01
FBA76721,B0BLKB55BM,Audio Array,AM-C18,Microphone dynamic,Mobile Microphone,,2664.193308210882,0,1p,,,1,0,0,,2026-07-01
FBA75681,B0B4FZS38V,Audio Array,AM-C7,Microphone Condenser,USB Microphone Kit - Boomarm,,2051.2766378294114,1,1p,,,0,1,0,2050.99,2026-07-01
FBA79963,B0G53CB72D,Audio Array,AM-Pro8,Audio Mixer,8 channels Mixer,,12112.09532316,3,1p,,,0,1,0,47194.42,2026-07-01
FBA79815,B0FPR7VFCH,Audio Array,AM-W19,Microphone Wireless Lapel,Wireless Lapel Microphone,,1159.29193338,51,1p,,,0,41,0,75563.99,2026-07-01
FBA79008,B0CH4RT4P8,Audio Array,AI-06,Audio Interface,Audio Interface,,2934.090945,17,1p,,,0,17,1,43671.18,2026-07-01
FBA75680,B0B4G1PXWV,Audio Array,AM-C6,Microphone Condenser,USB Microphone Kit - Tripod,,1815.5950212299997,12,1p,,,0,6,5,17245.32,2026-07-01
FBA79107,B0CM9P5CCK,Audio Array,AM-W17,Microphone Wireless Lapel,Wireless Lapel Microphone,,1043.2323359999998,47,1p,,,2,45,5,66470.34,2026-07-01
FBA79841,B0FQBTRM28,Audio Array,AH-60-BL,Headphone,Headphone,,1092.4836480000001,45,1p,,,5,1,3,69706.01,2026-07-01
FBA79904,B0FTVQQVDC,Audio Array,PB-10 (AM-C2+AI-04+AH-60-BL),Bundles,PB-10,,4986.467599999999,30,1p,,,41,0,0,237010.32,2026-07-01
FBA79959,B0G39ZHDYP,Audio Array,AM-W47 Wired,Voice Amplifier,Wired Voice Amplifier,,503.35960212,126,1p,,,0,17,1,120857.41,2026-07-01
FBA79010,B0CH4T2BJD,Audio Array,AM-C42,Microphone Condenser,USB Microphone Kit - Boomarm,,1499.646483,26,1p,,,0,8,5,45765.9,2026-07-01
FBA80084,B0GXP97CZG,Audio Array,BE-4,Audio Mixer,04 channels Mixer,,1948.4042896799995,26,1p,,,0,0,1,81789.2,2026-07-01
FBA79825,B0FJ2DT13L,Audio Array,GB-02 (AM-C43 + AI-11),Bundles,GB-02,,1983.58,15,1p,,,7,1,0,45088.45,2026-07-01
FBA76727,B0BLKCDRNB,Audio Array,AM-C24,Microphone Condenser,USB Microphone Kit - Tripod,,1676.6440245741176,1,1p,,,0,0,1,1074.36,2026-07-01
FBA75692,B0B4G1HPL5,Audio Array,AM-C11,Microphone Dynamic,USB/XLR Dynamic Mic,,2975.579697881559,31,1p,,,0,11,12,110523.11,2026-07-01
FBA79356,B0D3Q2T5XX,Audio Array,AA-19WL,Microphone Accessories,Accessories,,2973.2121576,14,1p,,,4,2,1,45045.46,2026-07-01
FBA79449,B0DFMNGFTD,Audio Array,AM-W36,Microphone Wireless Handheld,Wireless Microphone,,4042.5253019999996,22,1p,,,0,18,1,97782.83,2026-07-01
FBA79908,B0FTVV1QJY,Audio Array,PB-14 (AM-C43+AH-40-SL+AI-12),Bundles,PB-14,,2280.5034,7,1p,,,6,0,1,28382.97,2026-07-01
FBA79966,B0G53KWRVW,Audio Array,AM-Mix10,Audio Mixer,10 channels mixer,,5808.86204274,0,1p,,,50,0,3,0.0,2026-07-01
FBA79104,B0CM6NVLT9,Audio Array,AI-11,Audio Interface,Audio Interface,,847.6262729999999,136,1p,,,20,30,17,146762.82,2026-07-01
FBA75683,B0B4G94VP3,Audio Array,AA-03,Microphone Accessories,Accessories,,179.96359429411766,67,1p,,,2,2,4,22395.57,2026-07-01
FBA79980,B0GN8MMKY1,Audio Array,AK-37-W,Electric Keyboard,37 Key Electronic Keyboard White,,2335.8554064000004,9,1p,,,2,5,2,25165.18,2026-07-01
FBA79011,B0CH4RNWJX,Audio Array,AM-C43,Microphone Condenser,XLR Microphone Kit - Boomarm,,1304.0404199999998,143,1p,,,9,104,27,259528.14,2026-07-01
FBA79813,B0FG88HVQ8,Audio Array,AH-50,DJ Headphone,DJ Headphone,,1201.7320128,593,1p,,,2,1,25,877135.05,2026-07-01
FBA76414,B0BLJVJ2GN,Audio Array,AA-05,Microphone Accessories,Accessories,,280.0829144294117,392,1p,,,3,5,34,182894.21,2026-07-01
FBA78960,B0CBCB82MT,Audio Array,AM-C39,Microphone Condenser,XLR Microphone Kit - Tripod,,734.122339149,71,1p,,,2,23,9,88507.01,2026-07-01
FBA79958,B0G3Q59X8C,Audio Array,AM-W24,Microphone Wireless Lapel,Wireless Lapel Microphone,,905.00405148,50,1p,,,0,50,0,67344.32,2026-07-01
FBA79379,B0D3LZWTHV,Audio Array,AM-C45,Microphone Dynamic,Dynamic Microphone,,2021.2626509999998,28,1p,,,4,19,5,71928.91,2026-07-01
FBA79846,B0FN7C25VS,Audio Array,AM-C11X Pro,Microphone Dynamic,Microphone Dynamic,,2263.0393999999997,11,1p,,,0,11,0,36141.32,2026-07-01
FBA79972,B0GCP1J2HC,Audio Array,M8,Audio Mixer,8 channels Mixer,,4119.760313999999,0,1p,,,272,0,12,0.0,2026-07-01
FBA79380,B0D3M1B4Z8,Audio Array,AM-C46,Microphone Condenser,Condenser Mic with Boom Arm,,2021.2626509999998,282,1p,,,17,53,28,749905.84,2026-07-01
FBA75675,B0B4G8ZB64,Audio Array,AM-C3,Microphone Dynamic,Vocal Microphone,,659.7098370441175,95,1p,,,3,8,13,63431.21,2026-07-01
FBA80005,B0GW96CQMG,Audio Array,T-835,Microphone Wireless Handheld,Quad UHF Wireless Microphone With Receiver Box,,6259.394015999999,17,1p,,,1,0,0,134305.85,2026-07-01
FBA79064,B0CJR76Y7G,Audio Array,AA-25,Microphone Accessories,Accessories,,326.01010499999995,43,1p,,,9,11,7,24457.71,2026-07-01
FBA79016,B0CH4R1V6S,Audio Array,AM-C3a,Microphone Dynamic,Vocal Microphone,,521.6161679999999,39,1p,,,1,34,5,20699.52,2026-07-01
FBA78974,B0CF5RRTDJ,Audio Array,AA-20,Microphone Accessories,Accessories,,1107.7800806647056,16,1p,,,10,8,4,24455.75,2026-07-01
FBA79446,B0DFMMTWLY,Audio Array,AM-W33,Microphone Wireless Handheld,Wireless Microphone,,1194.5010247199998,49,1p,,,3,5,5,72263.83,2026-07-01
FBA79965,B0G53PRM34,Audio Array,AM-Mix6,Audio Mixer,6 channels mixer,,4696.5267579599995,12,1p,,,3,0,0,79701.3,2026-07-01
FBA79831,B0FJ8W5Y9Q,Audio Array,GB-04 (AM-C45 + AI-06),Bundles,GB-04,,4630.8156,9,1p,,,0,9,0,47190.19,2026-07-01
FBA78975,B0CF5TCQKL,Audio Array,AA-21,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,1722.8355578250003,257,1p,,,1,4,11,637222.26,2026-07-01
FBA79844,B0FN7DYB2M,Audio Array,PB-08 (AM-C1 + AI-04),Bundles,PB-08,,3358.8228,1,1p,,,0,1,1,5033.59,2026-07-01
FBA79722,B0F2HYY7JF,Audio Array,AM-W21,Microphone Wireless Lapel,Wireless Lapel Microphone,,2803.686903,6,1p,,,0,0,0,14763.09,2026-07-01
FBA79655,B0DN6PFWNK,Audio Array,AM-C44 Pro,Microphone Dynamic,Microphone Dynamic,,3277.450944,20,1p,,,6,7,2,77458.24,2026-07-01
FBA79653,B0DN6LJZBR,Audio Array,AM-C45 Pro,Microphone Dynamic,Microphone Dynamic,,2458.0882079999997,9,1p,,,4,2,1,27822.15,2026-07-01
FBA79847,B0FN7FYZM3,Audio Array,PB-09 (AM-C45 + AI-06 + AA-05),Bundles,PB-09,,4889.153,8,1p,,,0,7,0,39150.73,2026-07-01
FBA75691,B0B4G5JG4P,Audio Array,AM-W14,Microphone Wireless Handheld,Wireless Microphone,,3221.7469199999996,32,1p,,,0,1,2,149608.0,2026-07-01
FBA75690,B0B4K87PR4,Audio Array,AM-C10,Microphone Conference,Conference Microphone,,2311.5221945894114,44,1p,,,2,15,1,127714.33,2026-07-01
FBA79906,B0FTVVLNS9,Audio Array,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),Bundles,PB-12,,6152.0362,12,1p,,,14,0,0,105711.79,2026-07-01
FBA80010,B0GW8ZQRFK,Audio Array,AM-C52,Microphone Dynamic,Vocal Microphone,,912.8282939999998,10,1p,,,0,0,0,12458.18,2026-07-01
FBA79654,B0DN6MNS1X,Audio Array,AM-C11 Pro,Microphone Dynamic,Microphone Dynamic,,3140.890488,78,1p,,,0,78,2,294661.19,2026-07-01
FBA80007,B0GN2LHJY4,Audio Array,MT-12,Audio Mixer,12 channels Mixer,,4119.760313999999,7,1p,,,8,1,3,46492.42,2026-07-01
FBA79482,B0DXFPM4N2,Audio Array,AM-S1,Monitor Speakers,Studio Monitor Speaker,,4486.010979600001,226,1p,,,12,5,15,1452934.62,2026-07-01
FBA80003,B0GW92TTMS,Audio Array,AM-W32 Pro,Microphone Wireless Handheld,Dual UHF Wireless Microphone With Receiver,,3129.6970079999996,15,1p,,,0,0,0,61869.39,2026-07-01
FBA76864,B0BPLZ5CGV,Audio Array,AI-04 Red,Audio Interface,Audio Interface,,2165.5744819986176,801,1p,,,152,8,93,2819125.75,2026-07-01
